timestamp|function_name|message|execution_time (s)
2025-06-04T18:25:33.731573|Function Name: extract_frames|saved 8 unique frames|8.084399223327637
2025-06-04T18:25:33.732686|Function Name: extract_frames|removed 128 duplicates|8.085511684417725
2025-06-04T18:25:42.392437|Function Name: pre_tag_video|Images processed: 88|8.649730920791626
2025-06-04T18:25:42.393437|Function Name: pre_tag_video|Number of categories detected: 7|NA
2025-06-04T18:25:42.394553|Function Name: pre_tag_video|Class Information: {'tv': 1, 'car': 2, 'boat': 3, 'bus': 4, 'truck': 5, 'person': 6, 'train': 7}|NA
2025-06-04T18:25:42.427648|Function Name: save_annotations|COCO-format annotations saved to data_generation/resources/outputs/detections.json|0.026983261108398438
2025-06-04T18:46:14.925873|Function Name: extract_frames|Extracted 4077 frames|12.224201917648315
2025-06-04T18:46:14.925873|Function Name: extract_frames|saved 8 unique frames|12.224201917648315
2025-06-04T18:46:14.925873|Function Name: extract_frames|removed 128 duplicates|12.224201917648315
2025-06-04T18:46:22.894714|Function Name: pre_tag_video|Images processed: 88|7.950856685638428
2025-06-04T18:46:22.894714|Function Name: pre_tag_video|Number of categories detected: 7|NA
2025-06-04T18:46:22.894714|Function Name: pre_tag_video|Class Information: {'tv': 1, 'car': 2, 'boat': 3, 'bus': 4, 'truck': 5, 'person': 6, 'train': 7}|NA
2025-06-04T18:46:22.926540|Function Name: save_annotations|COCO-format annotations saved to data_generation/resources/outputs/detections.json|0.025244712829589844
2025-06-04T19:01:18.004617|Function Name: extract_frames|Extracted 4077 frames|7.9325902462005615
2025-06-04T19:01:18.004617|Function Name: extract_frames|saved 8 unique frames|7.9325902462005615
2025-06-04T19:01:18.004617|Function Name: extract_frames|removed 128 duplicates|7.9325902462005615
2025-06-04T19:01:26.700195|Function Name: pre_tag_video|Images processed: 88|8.695578336715698
2025-06-04T19:01:26.704653|Function Name: pre_tag_video|Number of categories detected: 7|NA
2025-06-04T19:01:26.704653|Function Name: pre_tag_video|Class Information: {'tv': 1, 'car': 2, 'boat': 3, 'bus': 4, 'truck': 5, 'person': 6, 'train': 7}|NA
2025-06-04T19:01:26.744113|Function Name: save_annotations|COCO-format annotations saved to data_generation/resources/outputs/detections.json|0.03213024139404297
